dataset,quality,sweep,bpp,psnr,infer_compress_s,infer_decompress_s,codec_compress_s,codec_decompress_s,infer_compress_gbs,infer_decompress_gbs,codec_compress_gbs,codec_decompress_gbs,e2e_comp_GBps,e2e_decomp_GBps
cesm,1,baseline,0.002620820820820821,8.660086631774902,0.6343313935697079,0.6297964141368866,1.0217267496585847,0.7919944334030151,2.8161166576759555,2.8363946885384976,1.7483649170537774,2.2555097972632496,1.0786766220877808,1.25640927215796
cesm,1,mix,0.0028208875542208877,8.65766716003418,0.6197756511569024,0.6158332481384278,1.0139970881938933,0.7615796244144439,2.882254571608242,2.9007060098140705,1.7616926367118686,2.3455869178379474,1.0933902622394658,1.2968887103600726
cesm,2,baseline,0.0018529195862529197,8.68781566619873,0.6346509166955948,0.629388184517622,1.0318311111927032,0.7666974675655365,2.8146988477057002,2.838234412181663,1.731243790326885,2.3299297043338174,1.0719294742002423,1.2795426994418049
cesm,2,mix,0.0042183516850183515,8.674700736999512,0.620711651980877,0.6157038756608963,1.0458865268230437,0.7964487047195434,2.877908281917497,2.9013155098317163,1.7079780244847675,2.2428954850865024,1.0718547677764056,1.264984555307194
cesm,3,baseline,0.0025393393393393394,8.669241905212402,0.6346139173805714,0.6306679698526859,1.060023549079895,0.7941863920688629,2.8148629505192537,2.8324749143923076,1.6851995462450031,2.2492845782272792,1.0541199750820747,1.2537079238817055
cesm,3,mix,0.007088955622288956,8.67339038848877,0.6206857250630855,0.6162760962247849,1.0736477811336518,0.8421296997070312,2.8780284962037674,2.8986215997365097,1.6638149263739643,2.1212304999335747,1.0543090822350976,1.224865677921355
cesm,4,baseline,0.003236703370036703,8.66442584991455,0.6349779834747314,0.6296287682652474,1.068771939277649,0.8102338562011718,2.8132490423418655,2.8371499111138303,1.6714054123892872,2.204735324556626,1.0484820454357735,1.240640026044456
cesm,4,mix,0.008116583249916584,8.670287132263184,0.6227552308142186,0.6162614679038525,1.0931953012943267,0.8552155244350433,2.868464391030325,2.898690404893461,1.6340641071210644,2.0887731254627577,1.0410272152329496,1.213985140929096
cesm,5,baseline,0.004015815815815816,8.662217140197754,0.6362631028592587,0.6300699483752251,1.0839436829090119,0.8307472360134125,2.8075668632848534,2.835163315636556,1.6480110840485487,2.150294489682318,1.038451434267913,1.2228437774477972
cesm,5,mix,0.007096763430096764,8.663995742797852,0.6207873607873917,0.6160914468169212,1.099359041929245,0.8762643516063691,2.877557303442345,2.8994903486288655,1.6249024529635216,2.038598512701921,1.0384878874828694,1.1970008799548875
cesm,6,baseline,0.005128461795128462,8.655256271362305,0.6355922267138958,0.6290488884449005,1.0927559995651246,0.8482018904685974,2.810530287876792,2.839765297629847,1.6347210215540862,2.1060448272893733,1.0335597750253789,1.2092403195294297
cesm,6,mix,0.010287821154487821,8.656148910522461,0.6205981720983982,0.6151582106947899,1.1129117510318756,0.8973799338340759,2.8784345237085622,2.903889069286524,1.6051148730006475,1.9906297617846562,1.0304822488081091,1.1810288622340033
covid,1,baseline,0.035956190476190475,32.81634521484375,2.0085918442606925,2.0066344699263574,1.830341005563736,1.5594594938755035,0.6231716731598692,0.6237795468195759,0.6838602951463061,0.8026483183430028,0.3260535125902108,0.3509995959132696
covid,1,mix,0.03670380952380952,32.752593994140625,1.9608406130075455,1.9602175453305244,1.829095840215683,1.5103875505924225,0.6383474169087839,0.6385503197157368,0.6843258361659199,0.8287260708632346,0.3302687408435757,0.3606568611777872
covid,2,baseline,0.01513047619047619,32.674556732177734,2.0130195871591567,2.009404988348484,1.8665607652664185,1.4257360570430755,0.6218009741522894,0.6229194948460662,0.6705902982507754,0.877930760115009,0.3226373541923476,0.36438024632567206
covid,2,mix,0.016142,32.584415435791016,1.96533038687706,1.960075935781002,1.8558203573226928,1.3959638109207153,0.636889119835047,0.638596453042243,0.6744712845423088,0.8966547201948161,0.3275708350902395,0.37296862813182086
covid,3,baseline,0.024217619047619047,33.465538024902344,2.0162040349841117,2.011042614221573,1.9223341193199157,1.5223205423355102,0.6208188846785374,0.6224122410094755,0.6511342267212265,0.8222299479470182,0.3178076461987172,0.3542510307666365
covid,3,mix,0.026551809523809523,33.457298278808594,1.9687567679286002,1.9626355223059655,1.9263956398963928,1.5320215682983398,0.6357806919948568,0.6377636224644208,0.6497614064110543,0.8170234454815799,0.32134751332673434,0.358174638549946
covid,4,baseline,0.043504380952380954,34.29804992675781,2.0159731489419936,2.0116154290437698,1.942670692205429,1.6289690821170806,0.6208899860298778,0.6222350068562573,0.6443179203276113,0.7683985865811777,0.3161935224565177,0.34381774037820156
covid,4,mix,0.04519561904761905,34.29231643676758,1.9691207064390182,1.9643008257746697,1.947665150165558,1.6338148846626281,0.635663185192333,0.6372229364560623,0.6426656759642717,0.7661195598310823,0.3195726256447136,0.3478758441959827
covid,5,baseline,0.07797209523809524,35.186973571777344,2.015310856819153,2.0103436473608016,1.9591334145069121,1.757207326412201,0.6210940292649484,0.6226286445735004,0.6389036759899472,0.7123220586832355,0.31493649296171333,0.33223108300236065
covid,5,mix,0.07992990476190476,35.18464279174805,1.9631746888756751,1.9555721487998963,1.9621143066883087,1.7619433934688569,0.6375884669744085,0.6400671747403184,0.6379330378543748,0.7104073518610049,0.3188803529365001,0.3367027053555525
covid,6,baseline,0.1372117142857143,36.205543518066406,2.0120094153881074,2.0084115589857103,1.9807436139583587,1.8870720357894897,0.6221131624484751,0.6232276122307006,0.6319331444324513,0.6633014090315495,0.3134923525405429,0.32132019294396125
covid,6,mix,0.13948047619047618,36.20326614379883,1.963982536315918,1.958351771235466,1.974103872537613,1.8851424388885498,0.6373262068975242,0.6391586836789512,0.6340586013208149,0.6639803520741829,0.31784410252379447,0.3256665606484198
hurricane,1,baseline,0.011872,40.742637634277344,0.15275190138816833,0.1523605425953865,0.043171487748622894,0.027772992253303527,0.6096962238452476,0.6112623115872777,2.157263099289846,3.3533389781027285,0.47535037992081736,0.5170178753210933
